folio;nro;upm;depto;;estrato;S1_tipo de violencia;S1_04(presentar denuncia formal);S2_2;S2_3;S2_5;S2_6;S2_7;S3_1;S3_2;S3_3;S3_8;S3_9;S3_25;;;;;;;target
45614;7;711-05208782009-A;7;;11;2;1;1;1;2;1;3;3;3;1;4;2;2;;;;;;;si
45638;2;711-05208782009-A;7;;11;0;1;1;2;3;3;2;3;1;1;3;1;3;;;;;;;no
45646;2;711-05208782009-A;7;;11;0;1;2;2;3;3;1;3;1;1;4;1;3;;;;;;;no
45652;2;711-05208782009-A;7;;11;0;1;2;1;1;2;2;3;1;1;1;1;3;;;;;;;no
45672;1;711-05208782009-A;7;;11;0;1;1;4;3;3;2;3;1;1;1;1;2;;;;;;;no
45912;2;312-05179515073-A;3;;12;0;1;2;4;3;3;3;3;1;1;4;1;3;;;;;;;no
45915;2;312-05179515073-A;3;;12;0;1;2;2;3;3;3;3;1;1;4;1;3;;;;;;;no
45932;2;312-05179515073-A;3;;12;0;1;1;3;3;3;3;3;1;2;4;1;3;;;;;;;no
45933;2;312-05179515073-A;3;;12;0;1;1;3;3;2;3;1;3;1;4;1;3;;;;;;;no
45955;2;312-05179515073-A;3;;12;0;1;1;3;3;1;3;3;1;2;2;1;3;;;;;;;no
45953;2;312-05179515073-A;3;;12;0;1;1;3;3;3;3;3;3;1;4;1;3;;;;;;;no
45954;2;312-05179515073-A;3;;12;0;1;1;2;2;2;3;3;1;1;3;1;3;;;;;;;no
45979;2;111-00418453835-A;1;;11;1;1;1;3;3;3;3;3;3;1;1;1;3;;;;;;;no
45985;2;111-00418453835-A;1;;11;0;1;1;2;3;3;3;3;1;1;2;1;2;;;;;;;no
46062;2;111-00418453835-A;1;;11;1;1;1;2;1;1;1;3;1;2;4;2;1;;;;;;;si
46067;2;111-00418453835-A;1;;11;0;1;1;1;3;3;1;3;3;1;4;2;1;;;;;;;si
;;;;;;;;;;;;;;;;;;;;;;;;;
46104;2;111-00420908567-A;1;;11;0;1;1;2;3;3;1;1;1;1;1;1;3;;;;;;;no
46114;4;111-00420908567-A;1;;11;0;1;1;3;3;3;3;1;1;2;2;2;1;;;;;;;si
46126;2;111-04178209842-A;1;;11;0;1;1;2;2;3;1;3;1;2;4;2;2;;;;;;;si
46131;2;111-04178209842-A;1;;11;2;1;1;1;2;3;3;1;3;3;4;2;1;;;;;;;si
46142;2;111-04178209842-A;1;;11;0;1;1;3;3;3;3;1;1;2;3;1;3;;;;;;;no
46156;2;111-04178209842-A;1;;11;2;1;1;3;3;2;2;3;1;1;4;1;3;;;;;;;no
46197;2;111-04192977727-A;1;;11;0;1;1;3;3;3;1;3;1;1;4;1;3;;;;;;;no
46204;2;111-04192977727-A;1;;11;0;1;1;4;3;3;3;3;3;1;1;1;3;;;;;;;no
46211;2;111-04192977727-A;1;;11;0;1;1;3;3;3;3;3;2;1;4;1;3;;;;;;;no
46224;2;911-01215200354-A;9;;11;2;1;1;4;3;2;1;3;3;1;2;1;2;;;;;;;no
